Abortiporus biennis
Adelphella babingtonii
Agaricus arvensis
Agaricus campestris
Agaricus litoralis
Agaricus sylvaticus
Agaricus sylvicola
Agaricus urinascens
Agaricus xanthodermus
Agrocybe praecox
Alboleptonia sericella
Aleuria aurantia
Amanita battarrae
Amanita caesarea
Amanita ceciliae
Amanita citrina
Amanita citrina var. alba
Amanita crocea
Amanita curtipes
Amanita excelsa
Amanita franchetii
Amanita fulva
Amanita gemmata
Amanita muscaria
Amanita muscaria var. aureola
Amanita ovoidea
Amanita pantherina
Amanita phalloides
Amanita ponderosa
Amanita porphyria
Amanita regalis
Amanita rubescens
Amanita strobiliformis
Amanita torrendii
Amanita vaginata
Amanita verna
Amanita virosa
Amanita vittadinii
Ampulloclitocybe clavipes
Arachnopeziza aurelia
Arcyria denudata
Armillaria mellea
Armillaria tabescens
Arrhenia onisca
Arrhenia spathulata
Ascocoryne cylichnium
Ascocoryne sarcoides
Ascotremella faginea
Asterophora lycoperdoides
Asterophora parasitica
Astraeus hygrometricus
Auricularia auricula-judae
Auriscalpium vulgare
Baeospora myosura
Bolbitius titubans
Boletopsis leucomelaena
Boletus aereus
Boletus edulis
Boletus erythropus
Boletus ferrugineus
Boletus pinophilus
Boletus reticulatus
Boletus subtomentosus
Bovista plumbea
Bulgaria inquinans
Butyriboletus appendiculatus
Butyriboletus pseudoregius
Butyriboletus regius
Caloboletus calopus
Caloboletus radicans
Calocera cornea
Calocera viscosa
Calocybe gambosa
Calocybe ionides
Calvatia gigantea
Cantharellus cibarius
Cantharellus cinereus
Cantharellus lutescens f. schizocroica
Cantharellus melanoxeros
Cantharellus subpruinosus
Ceratiomyxa fruticulosa
Ceratiomyxa porioides
Cerioporus corylinus
Cerioporus rhizophilus
Cerioporus squamosus
Chalciporus piperatus
Chamaemyces fracidus
Cheilymenia stercorea
Chlorociboria aeruginascens
Chlorophyllum molybdites
Chlorophyllum rachodes
Choiromyces meandriformis
Chromosera viola
Chroogomphus helveticus
Chroogomphus rutilus
Ciboria amentacea
Ciboria batschiana
Ciboria coryli
Clathrus archeri
Clathrus ruber
Clavaria acuta
Clavaria fragilis
Clavaria fumosa
Clavaria zollingeri
Clavariadelphus pistillaris
Clavariadelphus truncatus
Claviceps purpurea
Clavulinopsis corniculata
Clavulinopsis fusiformis
Clavulinopsis helvola
Clavulinopsis luteoalba
Clitocella popinalis
Clitocybe alexandri
Clitocybe candida
Clitocybe costata
Clitocybe gibba
Clitocybe nebularis
Clitocybe odora
Clitocybe phyllophila
Clitocybe rivulosa
Clitopilus prunulus
Collybia cirrhata
Collybia cookei
Collybia tuberosa
Comatricha nigra
Conocybe apala
Conocybe arrhenii
Conocybe brunnea
Conocybe filaris
Conocybe mairei
Conocybe ovalis
Conocybe tenera
Conocybe teneroides
Conocybe vestita
Coprinellus micaceus
Coprinopsis atramentaria
Coprinopsis ephemeroides
Coprinopsis erythrocephala
Coprinopsis lotinae
Coprinus comatus
Cordyceps militaris
Cortinarius bolaris
Cortinarius cupreorufus
Cortinarius impolitus
Cortinarius inexspectatus
Cortinarius mucosus
Cortinarius olens
Cortinarius praestans
Cortinarius triformis
Cortinarius tubarius
Cortinarius vernus
Cortinarius violaceus
Coryne dubia
Craterellus cornucopioides
Craterellus lutescens
Craterellus tubaeformis
Crepidotus autochthonus
Crepidotus crocophyllus
Crepidotus variabilis
Crinipellis scabella
Crucibulum laeve
Cuphophyllus flavipes
Cuphophyllus pratensis
Cuphophyllus virgineus
Cyathus olla
Cyathus stercoreus
Cyathus striatus
Cyclocybe aegerita
Cystoderma amianthinum
Cystoderma carcharias
Cystoderma fallax
Cystodermella ambrosii
Cystodermella cinnabarina
Cystodermella granulosa
Dacrymyces stillatus
Dactylosporina kuehneri
Daedalea quercina
Daldinia concentrica
Dasyscyphella nivea
Delicatula integrella
Dermoloma cuneifolium
Descolea alba
Descolea maculata
Dichomitus campestris
Discina ancilis
Disciotis venosa
Elaphomyces cyanosporus
Elaphomyces granulatus
Elaphomyces muricatus
Entoloma aprile
Entoloma cetratum
Entoloma clypeatum
Entoloma conferendum
Entoloma hirtipes
Entoloma opacum
Entoloma porphyrophaeum
Entoloma sinuatum
Faerberia carbonaria
Fistulina hepatica
Fomes fomentarius
Fomitopsis betulina
Fomitopsis pinicola
Fuligo cinerea
Fuligo septica
Fuscoporia contigua
Galerina clavata
Galerina marginata
Galerina terrestris
Ganoderma applanatum
Ganoderma lucidum
Gautieria graveolens
Gautieria otthii
Gautieria trabutii
Geoglossum glabrum
Geopora sumneriana
Gliophorus psittacinus
Glutinoglossum glutinosum
Gomphidius glutinosus
Gomphidius maculatus
Gomphidius roseus
Grifola frondosa
Guepinia helvelloides
Guepiniopsis buccina
Gymnopilus junonius
Gymnopilus penetrans
Gymnopus androsaceus
Gymnopus brassicolens
Gymnopus confluens
Gymnopus dryophilus
Gymnopus fusipes
Gyrodon lividus
Gyromitra esculenta
Gyromitra gigas
Gyromitra infula
Gyroporus castaneus
Hebeloma birrus
Hebeloma mesophaeum
Hebeloma radicosum
Hebeloma sinapizans
Helvella acetabulum
Helvella atra
Helvella crispa
Helvella dissingii
Helvella elastica
Helvella fusca
Helvella lacunosa
Helvella leucomelaena
Helvella leucopus
Helvella macropus
Helvella sulcata
Hemimycena cucullata
Hemimycena lactea
Hemitrichia serpula
Hericium cirrhatum
Hericium coralloides
Hericium erinaceus
Heterobasidion annosum
Hohenbuehelia petaloides
Hortiboletus rubellus
Humidicutis calyptriformis
Hydnangium aurantiacum
Hydnangium carneum
Hydnellum ferrugineum
Hydnocystis bombycina
Hydnum repandum
Hydnum rufescens
Hygrocybe chlorophana
Hygrocybe coccinea
Hygrocybe conica
Hygrocybe conicoides
Hygrophoropsis aurantiaca
Hygrophorus agathosmus
Hygrophorus gliocyclus
Hygrophorus latitabundus
Hygrophorus marzuolus
Hygrophorus marzuolus var. alba
Hygrophorus nemoreus
Hygrophorus persoonii
Hygrophorus roseodiscoideus
Hygrophorus russula
Hymenogaster luteus
Hymenoscyphus fructigenus
Hymenoscyphus immutabilis
Hymenoscyphus monticola
Hymenostilbe muscaria
Hypholoma capnoides
Hypholoma fasciculare
Hypholoma lateritium
Hypsizygus ulmarius
Imleria badia
Imperator luteocupreus
Imperator rhodopurpureus
Imperator torosus
Infundibulicybe geotropa
Inocybe geophylla
Inocybe lacera
Inonotus hispidus
Kretzschmaria deusta
Laccaria amethystina
Laccaria bicolor
Laccaria laccata
Lachnellula subtilissima
Lachnum virgineum
Lacrymaria lacrymabunda
Lactarius blennius
Lactarius chrysorrheus
Lactarius controversus
Lactarius deliciosus
Lactarius hemicyaneus
Lactarius indigo
Lactarius lilacinus
Lactarius pergamenus
Lactarius piperatus
Lactarius pubescens
Lactarius quieticolor
Lactarius sanguifluus
Lactarius semisanguifluus
Lactarius torminosus
Lactarius turpis
Lactarius violascens
Lactarius volemus
Laetiporus sulphureus
Lanmaoa fragrans
Leccinellum crocipodium
Leccinellum lepidum
Leccinum aurantiacum
Lentinellus cochleatus
Lentinula edodes
Lentinus tigrinus
Leocarpus fragilis
Leotia lubrica
Lepiota brunneoincarnata
Lepiota castanea
Lepiota erminea
Lepista glaucocana
Lepista nuda
Lepista panaeolus
Lepista personata
Lepista sordida
Leucoagaricus leucothites
Leucocoprinus badhamii
Leucocortinarius bulbiger
Leucopaxillus gentianeus
Leucopaxillus lepistoides
Leucopaxillus paradoxus
Limacella illinita
Loweomyces fractipes
Lycogala epidendrum
Lycoperdon echinatum
Lycoperdon perlatum
Lycoperdon utriforme
Lyophyllum decastes
Lyophyllum fumosum
Lysurus periphragmoides
Macrocystidia cucumis
Macrolepiota mastoidea
Macrolepiota procera
Macrotyphula juncea
Marasmiellus candidus
Marasmiellus maas-geesterani
Marasmiellus vaillantii
Marasmius collinus
Marasmius graminum
Marasmius oreades
Marasmius rotula
Mattirolomyces terfezioides
Megacollybia platyphylla
Meripilus giganteus
Metatrichia vesparium
Microglossum cyanobasis
Microglossum griseoviride
Microglossum nudipes
Microglossum olivaceum
Mitrophora semilibera
Mitrula paludosa
Morchella conica
Morchella costata
Morchella elata
Morchella esculenta
Morchella hortensis
Mutinus caninus
Mycena acicula
Mycena corynephora
Mycena pura
Mycena seynii
Mycena tenerrima
Naucoria scolecina
Neoboletus junquilleus
Neobulgaria pura
Omphalotus olearius
Onygena equina
Orbilia delicatula
Panaeolus fimicola
Panaeolus semiovatus
Paralepista flaccida
Parasola conopilus
Paxillus involutus
Paxillus rubicundulus
Paxina queletii
Peroneutypa scoparia
Peziza arvernensis
Peziza badia
Peziza varia
Peziza vesiculosa
Phaeolus schweinitzii
Phallus impudicus
Phellinus pomaceus
Pholiota gummosa
Phylloporus rhodoxanthus
